cell_id,WBP5,ITGA5,LAMC2,VIM,KRT14,KRT17,is_cancer,site,non_cancer_type,compartment,patient,WBP5_detected,ITGA5_detected,LAMC2_detected,VIM_detected,KRT14_detected,KRT17_detected
HNSCC25_P12_E05_S149_comb,0,0,0.14405,8.4182,0,0,0,Primary,T cell,T cell,25,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
HNSCC25_P31_E06_S246_comb,0,0,0.056584,0,0.36401,1.2296,0,Lymph node,T cell,T cell,25,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
HNSCC25_P4_B11_S215_comb,4.674,0,0,8.9597,0,0,0,Primary,Fibroblast,Fibroblast,25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC25_P4_F05_S257_comb,4.3247,4.1228,5.7291,7.7689,10.662,1.8992,1,Primary,0,Cancer cells,25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HNSCC25_P4_D10_S238_comb,0,0,0,9.1941,0,0.41792,0,Primary,Fibroblast,Fibroblast,25,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
HNSCC25_P12_A09_S105_comb,0,0,0,5.7635,0.32539,0.338,0,Primary,T cell,T cell,25,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
HNSCC25_P4_B08_S212_comb,4.8844,1.0349,0,8.7201,0,0,0,Primary,Fibroblast,Fibroblast,25,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
HNSCC24_P3_B01_S13_comb,0,0,0,9.7242,0,0,0,Primary,Mast,Mast,24,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC25_P31_E04_S244_comb,0,0.04684,0.035624,0,0.123,1.6951,0,Lymph node,T cell,T cell,25,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
HNSCC25_P4_C09_S225_comb,4.5751,2.7989,0,9.0736,0,0,0,Primary,Fibroblast,Fibroblast,25,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
HNSCC25_P12_G09_S177_comb,0,7.3762,0.35727,0,0,0,0,Primary,T cell,T cell,25,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
HNSCC25_P31_B10_S214_comb,0,0,0,7.2385,0,0,0,Lymph node,T cell,T cell,25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC25_P31_E02_S242_comb,0,0,0.45101,0,0,0,0,Lymph node,T cell,T cell,25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
