cell_id,WBP5,is_cancer,site,non_cancer_type,compartment,patient,detected
HNSCC17_P7_B01_S109_comb,0,0,Primary,Fibroblast,Fibroblast,17,FALSE
HNSCC18_P15_B11_S23_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC18_P15_D03_S39_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC16_P9_H07_S283_comb,0,0,Primary,Endothelial,Endothelial,16,FALSE
HNSCC18_P15_D12_S48_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC18_P7_F01_S157_comb,4.4203,0,Primary,Endothelial,Endothelial,18,TRUE
HNSCC18_P2_D03_S135_comb,3.6906,0,Primary,0,0,18,TRUE
HNSCC17_P3_F02_S254_comb,4.7239,0,Primary,Mast,Mast,17,TRUE
HNSCC16_P2_C05_S29_comb,4.2783,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC18_P3_H01_S373_comb,4.2942,1,Primary,0,Cancer cells,18,TRUE
HNSCC_17_P9_C07_S31_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC17_P7_A08_S104_comb,0,1,Primary,0,Cancer cells,17,FALSE
HNSCC16_P9_F01_S253_comb,0,0,Primary,T cell,T cell,16,FALSE
HNSCC16_P2_C11_S35_comb,4.7695,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC18_P15_H08_S92_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC_17_P10_G08_S272_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC16_P9_B04_S208_comb,0,0,Primary,T cell,T cell,16,FALSE
HNSCC18_P13_G03_S363_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC18_P7_C02_S122_comb,4.758,1,Primary,0,Cancer cells,18,TRUE
HNSCC18_P13_H04_S376_comb,6.4196,0,Primary,B cell,B cell,18,TRUE
HNSCC18_P2_C10_S130_comb,0.53903,0,Primary,0,0,18,TRUE
HNSCC18_P13_B12_S312_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC_17_P10_E06_S246_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC18_P7_B06_S114_comb,0,0,Primary,Fibroblast,Fibroblast,18,FALSE
HNSCC17_P3_H08_S284_comb,4.4695,1,Primary,0,Cancer cells,17,TRUE
HNSCC18_P7_B05_S113_comb,2.6241,0,Primary,Fibroblast,Fibroblast,18,TRUE
HNSCC18_P7_G02_S170_comb,0,0,Primary,Endothelial,Endothelial,18,FALSE
